P,P_lag1,Q_lag1
0.19265,1.497,78.335
2.9037,0.19265,77.188
6.4264,2.9037,64.588
9.9471,6.4264,57.728
1.0639,9.9471,59.265
2.1035,1.0639,95.427
0.45651,2.1035,82.869
2.7958,0.45651,70.984
0.82801,2.7958,62.54
4.08e-05,0.82801,57.579
0.0,4.08e-05,53.856
0.0015517,0.0,48.898
0.001715,0.0015517,44.302
0.0052675,0.001715,40.832
0.13728,0.0052675,37.738
0.094324,0.13728,35.659
1.2461,0.094324,33.717
0.65329,1.2461,31.677
7.4846,0.65329,30.613
0.53422,7.4846,30.374
4.3034,0.53422,32.3
0.52687,4.3034,30.518
2.0976,0.52687,29.964
0.29036,2.0976,29.467
2.8605,0.29036,28.554
0.80057,2.8605,26.914
0.1022,0.80057,25.779
0.0,0.1022,25.518
0.0,0.0,24.387
0.0,0.0,23.096
0.015802,0.0,22.415
0.052797,0.015802,21.856
0.3949,0.052797,20.876
1.1699,0.3949,20.156
1.2131,1.1699,16.288
0.04806,1.2131,15.896
0.29922,0.04806,15.765
0.0035933,0.29922,15.392
0.10964,0.0035933,15.007
0.52242,0.10964,14.172
0.17015,0.52242,13.95
0.048305,0.17015,13.837
0.0,0.048305,13.341
0.0,0.0,13.063
0.0,0.0,12.584
0.0,0.0,12.407
0.014782,0.0,11.988
0.68118,0.014782,11.607
0.18681,0.68118,11.128
2.9892,0.18681,10.852
0.14806,2.9892,10.816
0.099755,0.14806,10.98
1.3978,0.099755,11.02
1.6772,1.3978,10.763
1.6527,1.6772,10.913
1.6508,1.6527,10.532
4.1106,1.6508,10.576
0.25721,4.1106,11.445
0.19731,0.25721,10.94
15.127,0.19731,10.291
0.89441,15.127,9.397
0.0,0.89441,11.08
0.00343,0.0,10.672
0.0,0.00343,8.641
0.0,0.0,7.428
0.0,0.0,7.087
0.0,0.0,6.67
0.0,0.0,6.208
0.0,0.0,5.789
0.021315,0.0,5.847
0.0,0.021315,6.101
0.11695,0.0,6.273
9.739,0.11695,6.601
5.1457,9.739,6.722
3.9816,5.1457,7.953
2.1141,3.9816,8.446
5.1282,2.1141,7.927
1.9374,5.1282,7.674
0.26607,1.9374,7.394
0.0045325,0.26607,7.35
0.0,0.0045325,7.301
0.0088608,0.0,6.945
0.0092283,0.0088608,6.549
0.045978,0.0092283,6.144
0.081707,0.045978,5.786
0.0,0.081707,5.53
0.07795,0.0,5.367
0.26595,0.07795,5.162
0.16096,0.26595,4.927
0.0023683,0.16096,4.627
0.061086,0.0023683,4.429
0.0,0.061086,4.254
0.0,0.0,4.025
0.0,0.0,3.868
0.0,0.0,3.691
0.0,0.0,3.442
0.095958,0.0,3.293
1.1722,0.095958,3.255
0.35186,1.1722,3.262
0.012781,0.35186,3.283
0.0,0.012781,3.383
0.12193,0.0,3.496
3.1207,0.12193,3.436
0.61017,3.1207,3.263
0.98056,0.61017,3.151
8.7522,0.98056,3.114
7.8059,8.7522,3.175
0.37428,7.8059,3.709
0.54381,0.37428,4.662
0.77064,0.54381,4.399
0.2118,0.77064,4.506
0.20269,0.2118,3.667
0.26039,0.20269,3.656
17.099,0.26039,3.448
1.3851,17.099,4.801
0.31213,1.3851,5.739
4.6441,0.31213,4.93
0.68432,4.6441,4.475
4.159,0.68432,3.967
2.0403,4.159,3.813
8.663,2.0403,3.883
3.7243,8.663,3.93
10.08,3.7243,4.11
3.4699,10.08,4.433
3.769,3.4699,4.954
1.2817,3.769,5.542
0.38987,1.2817,5.732
2.4501,0.38987,5.062
2.8669,2.4501,4.738
0.52021,2.8669,4.402
0.054675,0.52021,4.335
0.000939,0.054675,4.106
2.9939,0.000939,3.938
10.267,2.9939,3.89
0.99837,10.267,4.127
0.027603,0.99837,4.422
1.0945,0.027603,4.112
4.3739,1.0945,3.939
14.602,4.3739,3.734
0.13569,14.602,4.208
0.95851,0.13569,5.555
0.019192,0.95851,6.263
0.38775,0.019192,6.065
